id,file,background,fur,style,rarity
0001,LION_0001_FUR-WHITE_EYES-AMBER_STYLE-BUSINESSMAN.png,bleu,Pure White,Businessman,Common
0002,LION_0002_FUR-WHITE_EYES-ORANGE_STYLE-HOUSEPAINTER.png,bleu,Pure White,House Painter,Common
0003,LION_0003_FUR-RED_EYES-VIOLET_STYLE-GRAFFITI.png,vert,Red,Graffiti Artist,Common
0004,LION_0004_FUR-GOLD_EYES-NIGHTBLUE_STYLE-RASTA.png,bleu,Gold,Rasta,Uncommon
0005,LION_0005_FUR-WHITE_EYES-YELLOW_STYLE-FIREHERO.png,bleu,Pure White,Fire Being,Uncommon
0006,LION_0006_FUR-GOLD_EYES-ICEBLUE_STYLE-FARMER.png,bleu,Gold,Farmer,Uncommon
0007,LION_0007_FUR-TAN_EYES-SILVER_STYLE-SKATER.png,vert,Light Tan,Skater,Uncommon
0008,LION_0008_FUR-PURPLE_EYES-EMERALD_STYLE-CARDINAL.png,vert,Purple,Cardinal,Uncommon
0009,LION_0009_FUR-GREY_EYES-VIOLET_STYLE-STREETGANG.png,bleu,Silver Grey,Street Gang,Uncommon
0010,LION_0010_FUR-GREEN_EYES-AMBER_STYLE-FIREFIGHTER.png,rouge,Green,Firefighter,Uncommon
0011,LION_0011_FUR-WHITE_EYES-PINK_STYLE-BANKER.png,bleu,Pure White,Banker,Common
0012,LION_0012_FUR-PURPLE_EYES-NIGHTBLUE_STYLE-RACER.png,vert,Purple,Race Driver,Uncommon
0013,LION_0013_FUR-TAN_EYES-AMBER_STYLE-JUDGE.png,vert,Light Tan,Judge,Uncommon
0014,LION_0014_FUR-WHITE_EYES-VIOLET_STYLE-TEMPLAR.png,bleu,Pure White,Templar,Uncommon
0015,LION_0015_FUR-WHITE_EYES-YELLOW_STYLE-SAILOR.png,bleu,Pure White,Sailor,Common
0016,LION_0016_FUR-ICE_EYES-ORANGE_STYLE-DJ.png,rouge,Ice Blue,DJ,Uncommon
0017,LION_0017_FUR-PURPLE_EYES-FLAME_STYLE-SKATER.png,vert,Purple,Skater,Uncommon
0018,LION_0018_FUR-GREY_EYES-TURQUOISE_STYLE-FARMER.png,bleu,Silver Grey,Farmer,Common
0019,LION_0019_FUR-PURPLE_EYES-BLACKSHINE_STYLE-JUDGE.png,vert,Purple,Judge,Uncommon
0020,LION_0020_FUR-BLACK_EYES-SKYBLUE_STYLE-PLUMBER.png,gris_argent,Deep Black,Plumber,Common
0021,LION_0021_FUR-GREY_EYES-AMBER_STYLE-LAWYER.png,bleu,Silver Grey,Lawyer,Common
0022,LION_0022_FUR-TAN_EYES-YELLOW_STYLE-PLUMBER.png,vert,Light Tan,Plumber,Common
0023,LION_0023_FUR-RED_EYES-AMBER_STYLE-FUTURISTIC.png,vert,Red,Futuristic Hero,Common
0024,LION_0024_FUR-RED_EYES-GOLD_STYLE-ARCHITECT.png,vert,Red,Architect,Uncommon
0025,LION_0025_FUR-GOLD_EYES-AMBER_STYLE-FOOTBALLER.png,bleu,Gold,Footballer,Common
0026,LION_0026_FUR-TAN_EYES-WHITEGLOW_STYLE-BARBARIAN.png,vert,Light Tan,Barbarian,Rare
0027,LION_0027_FUR-WHITE_EYES-YELLOW_STYLE-PLUMBER.png,bleu,Pure White,Plumber,Common
0028,LION_0028_FUR-GOLD_EYES-YELLOW_STYLE-POLICE.png,bleu,Gold,Police Officer,Rare
0029,LION_0029_FUR-GREY_EYES-SKYBLUE_STYLE-SKATER.png,bleu,Silver Grey,Skater,Common
0030,LION_0030_FUR-BLACK_EYES-PINK_STYLE-SAILOR.png,gris_argent,Deep Black,Sailor,Uncommon
0031,LION_0031_FUR-GREY_EYES-ICEBLUE_STYLE-SAILOR.png,bleu,Silver Grey,Sailor,Common
0032,LION_0032_FUR-GREY_EYES-COSMIC_STYLE-BOXER.png,bleu,Silver Grey,Boxer,Uncommon
0033,LION_0033_FUR-GOLD_EYES-NIGHTBLUE_STYLE-NURSE.png,bleu,Gold,Nurse,Uncommon
0034,LION_0034_FUR-TAN_EYES-YELLOW_STYLE-SHERIFF.png,vert,Light Tan,Sheriff,Uncommon
0035,LION_0035_FUR-GREY_EYES-PINK_STYLE-SKATER.png,bleu,Silver Grey,Skater,Common
0036,LION_0036_FUR-BLACK_EYES-SILVER_STYLE-POLICE.png,gris_argent,Deep Black,Police Officer,Uncommon
0037,LION_0037_FUR-ICE_EYES-ELECTRICBLUE_STYLE-GANGSTER.png,rouge,Ice Blue,Gangster,Uncommon
0038,LION_0038_FUR-WHITE_EYES-EMERALD_STYLE-PROFESSOR.png,bleu,Pure White,Professor,Uncommon
0039,LION_0039_FUR-WHITE_EYES-TURQUOISE_STYLE-BANKER.png,bleu,Pure White,Banker,Common
0040,LION_0040_FUR-BLACK_EYES-COSMIC_STYLE-SURGEON.png,gris_argent,Deep Black,Surgeon,Uncommon
0041,LION_0041_FUR-RED_EYES-AMBER_STYLE-NURSE.png,vert,Red,Nurse,Common
0042,LION_0042_FUR-BLACK_EYES-RED_STYLE-BIKER.png,gris_argent,Deep Black,Biker,Rare
0043,LION_0043_FUR-ICE_EYES-SKYBLUE_STYLE-SKATER.png,rouge,Ice Blue,Skater,Common
0044,LION_0044_FUR-RED_EYES-PINK_STYLE-LAWYER.png,vert,Red,Lawyer,Common
0045,LION_0045_FUR-GOLD_EYES-ELECTRICBLUE_STYLE-SECRETAGENT.png,bleu,Gold,Secret Agent,Uncommon
0046,LION_0046_FUR-RED_EYES-FROST_STYLE-BANKER.png,vert,Red,Banker,Common
0047,LION_0047_FUR-RED_EYES-NEONGREEN_STYLE-FIREFIGHTER.png,vert,Red,Firefighter,Uncommon
0048,LION_0048_FUR-WHITE_EYES-EMERALD_STYLE-ELECTRICIAN.png,bleu,Pure White,Electrician,Common
0049,LION_0049_FUR-PURPLE_EYES-NEONGREEN_STYLE-FOOTBALLER.png,vert,Purple,Footballer,Uncommon
0050,LION_0050_FUR-BLACK_EYES-ELECTRICBLUE_STYLE-BUSINESSMAN.png,gris_argent,Deep Black,Businessman,Uncommon
0051,LION_0051_FUR-RED_EYES-WHITEGLOW_STYLE-FIREHERO.png,vert,Red,Fire Being,Uncommon
0052,LION_0052_FUR-TAN_EYES-ORANGE_STYLE-SECRETAGENT.png,vert,Light Tan,Secret Agent,Uncommon
0053,LION_0053_FUR-RED_EYES-RED_STYLE-MUMMY.png,vert,Red,Mummy,Uncommon
0054,LION_0054_FUR-BLACK_EYES-AMBER_STYLE-NURSE.png,gris_argent,Deep Black,Nurse,Common
0055,LION_0055_FUR-PURPLE_EYES-VIOLET_STYLE-DOCTOR.png,vert,Purple,Doctor,Uncommon
0056,LION_0056_FUR-GREY_EYES-TURQUOISE_STYLE-HOUSEPAINTER.png,bleu,Silver Grey,House Painter,Uncommon
0057,LION_0057_FUR-GREY_EYES-NIGHTBLUE_STYLE-DOCTOR.png,bleu,Silver Grey,Doctor,Common
0058,LION_0058_FUR-ICE_EYES-PINK_STYLE-FARMER.png,rouge,Ice Blue,Farmer,Uncommon
0059,LION_0059_FUR-ICE_EYES-YELLOW_STYLE-SAILOR.png,rouge,Ice Blue,Sailor,Common
0060,LION_0060_FUR-RED_EYES-TURQUOISE_STYLE-ELECTRICIAN.png,vert,Red,Electrician,Common
0061,LION_0061_FUR-WHITE_EYES-BLACKSHINE_STYLE-POLICE.png,bleu,Pure White,Police Officer,Uncommon
0062,LION_0062_FUR-GREEN_EYES-ELECTRICBLUE_STYLE-GANGSTER.png,rouge,Green,Gangster,Rare
0063,LION_0063_FUR-GOLD_EYES-COSMIC_STYLE-ROCKER.png,bleu,Gold,Rocker,Legendary
0064,LION_0064_FUR-RED_EYES-ORANGE_STYLE-PIRATE.png,vert,Red,Pirate,Common
0065,LION_0065_FUR-TAN_EYES-ICEBLUE_STYLE-ARCHITECT.png,vert,Light Tan,Architect,Uncommon
0066,LION_0066_FUR-TAN_EYES-RED_STYLE-SECRETAGENT.png,vert,Light Tan,Secret Agent,Uncommon
0067,LION_0067_FUR-GOLD_EYES-EMERALD_STYLE-SKATER.png,bleu,Gold,Skater,Common
0068,LION_0068_FUR-GREEN_EYES-NEONGREEN_STYLE-BAKER.png,or_legendary,Green,Baker,Legendary
0069,LION_0069_FUR-BLACK_EYES-SILVER_STYLE-ARCHER.png,gris_argent,Deep Black,Archer,Uncommon
0070,LION_0070_FUR-RED_EYES-BLACKSHINE_STYLE-ARCHITECT.png,vert,Red,Architect,Common
0071,LION_0071_FUR-BLACK_EYES-VIOLET_STYLE-MUSICIAN.png,gris_argent,Deep Black,Musician,Uncommon
0072,LION_0072_FUR-GREY_EYES-ELECTRICBLUE_STYLE-DOCTOR.png,bleu,Silver Grey,Doctor,Uncommon
0073,LION_0073_FUR-GREY_EYES-SKYBLUE_STYLE-FISHERMAN.png,bleu,Silver Grey,Fisherman,Common
0074,LION_0074_FUR-GREEN_EYES-NIGHTBLUE_STYLE-PILOT.png,rouge,Green,Pilot,Rare
0075,LION_0075_FUR-ICE_EYES-AMBER_STYLE-SURGEON.png,rouge,Ice Blue,Surgeon,Common
0076,LION_0076_FUR-TAN_EYES-EMERALD_STYLE-FARMER.png,vert,Light Tan,Farmer,Common
0077,LION_0077_FUR-ICE_EYES-NIGHTBLUE_STYLE-STREETGANG.png,rouge,Ice Blue,Street Gang,Uncommon
0078,LION_0078_FUR-BLACK_EYES-COSMIC_STYLE-ARCHITECT.png,gris_argent,Deep Black,Architect,Uncommon
0079,LION_0079_FUR-RED_EYES-ORANGE_STYLE-GRAFFITI.png,vert,Red,Graffiti Artist,Common
0080,LION_0080_FUR-PURPLE_EYES-ORANGE_STYLE-PLUMBER.png,vert,Purple,Plumber,Uncommon
0081,LION_0081_FUR-BLACK_EYES-SKYBLUE_STYLE-FISHERMAN.png,gris_argent,Deep Black,Fisherman,Uncommon
0082,LION_0082_FUR-PURPLE_EYES-RED_STYLE-MAGICIAN.png,vert,Purple,Stage Magician,Uncommon
0083,LION_0083_FUR-TAN_EYES-EMERALD_STYLE-SURFER.png,vert,Light Tan,Surfer,Uncommon
0084,LION_0084_FUR-TAN_EYES-WHITEGLOW_STYLE-HOUSEPAINTER.png,vert,Light Tan,House Painter,Uncommon
