id,name,image,fur,eye_left,eye_right,style,object,heterochromia,rarity,rarity_score,seed
LION-0001,Lion #0001,LION_0001_FUR-WHITE_EYES-AMBER_STYLE-BUSINESSMAN.png,Blanc pur,Ambre,Ambre,Homme d'affaires,Single briefcase,False,Common,27.01,2026006079
LION-0002,Lion #0002,LION_0002_FUR-WHITE_EYES-ORANGE_STYLE-HOUSEPAINTER.png,Blanc pur,Orange,Orange,Peintre en bâtiment,Single paint roller,False,Common,39.14,2026006080
LION-0003,Lion #0003,LION_0003_FUR-RED_EYES-VIOLET_STYLE-GRAFFITI.png,Rouge,Violet,Violet,Graffeur,Single spray can,False,Common,36.38,2026006081
LION-0004,Lion #0004,LION_0004_FUR-GOLD_EYES-NIGHTBLUE_STYLE-RASTA.png,Or,Bleu nuit,Bleu nuit,Rasta,Single djembe drum,False,Uncommon,57.88,2026006082
LION-0005,Lion #0005,LION_0005_FUR-WHITE_EYES-YELLOW_STYLE-FIREHERO.png,Blanc pur,Jaune,Jaune,Personnage de feu,Single flame sword,False,Uncommon,43.55,2026006083
LION-0006,Lion #0006,LION_0006_FUR-GOLD_EYES-ICEBLUE_STYLE-FARMER.png,Or,Bleu glacier,Bleu glacier,Fermier,Single pitchfork,False,Uncommon,52.37,2026006084
LION-0007,Lion #0007,LION_0007_FUR-TAN_EYES-SILVER_STYLE-SKATER.png,Brun clair,Argent,Argent,Skateur,Single skateboard,False,Uncommon,45.2,2026006085
LION-0008,Lion #0008,LION_0008_FUR-PURPLE_EYES-EMERALD_STYLE-CARDINAL.png,Mauve,Vert émeraude,Vert émeraude,Cardinal,Single rosary,False,Uncommon,52.92,2026006086
LION-0009,Lion #0009,LION_0009_FUR-GREY_EYES-VIOLET_STYLE-STREETGANG.png,Gris,Violet,Violet,Street gang,Single baseball bat,False,Uncommon,44.65,2026006087
LION-0010,Lion #0010,LION_0010_FUR-GREEN_EYES-AMBER_STYLE-FIREFIGHTER.png,Vert,Ambre,Ambre,Pompier,Single fire axe,False,Uncommon,43.55,2026006088
LION-0011,Lion #0011,LION_0011_FUR-WHITE_EYES-PINK_STYLE-BANKER.png,Blanc pur,Rose,Rose,Banquier,Single ledger book,False,Uncommon,40.24,2026006089
LION-0012,Lion #0012,LION_0012_FUR-PURPLE_EYES-NIGHTBLUE_STYLE-RACER.png,Mauve,Bleu nuit,Bleu nuit,Pilote de course,Single racing helmet,False,Uncommon,59.54,2026006090
LION-0013,Lion #0013,LION_0013_FUR-TAN_EYES-AMBER_STYLE-JUDGE.png,Brun clair,Ambre,Bleu nuit,Juge,Single gavel,True,Uncommon,61.96,2026006091
LION-0014,Lion #0014,LION_0014_FUR-WHITE_EYES-VIOLET_STYLE-TEMPLAR.png,Blanc pur,Violet,Violet,Templier,Single longsword,False,Uncommon,54.58,2026006092
LION-0015,Lion #0015,LION_0015_FUR-WHITE_EYES-YELLOW_STYLE-SAILOR.png,Blanc pur,Jaune,Jaune,Marin,Single rope coil,False,Common,34.73,2026006093
LION-0016,Lion #0016,LION_0016_FUR-ICE_EYES-ORANGE_STYLE-DJ.png,Bleu ice,Orange,Orange,DJ,Single vinyl record,False,Uncommon,40.79,2026006094
LION-0017,Lion #0017,LION_0017_FUR-PURPLE_EYES-FLAME_STYLE-SKATER.png,Mauve,Flamme,Flamme,Skateur,Single skateboard,False,Uncommon,50.72,2026006095
